,0
0,67834
1,122152
2,98891
3,124137
4,110028
5,5658
6,109226
7,69484
8,3245
9,5705
10,98915
11,67841
12,111092
13,5645
14,66613
15,68566
16,113323
17,8915
18,113286
19,5667
20,5629
21,98991
22,112247
23,110870
24,127020
25,9694
26,110922
27,85687
28,85234
29,109911
30,110059
31,66240
32,112187
33,9900
34,67821
35,85266
36,68428
37,110119
38,9698
39,122143
40,110888
41,5476
42,68261
43,5452
44,6983
45,122183
46,85215
47,9555
48,85195
49,68260
50,5604
51,113284
52,109180
53,124151
54,110836
55,8900
56,85293
57,110883
58,67855
59,124089
60,85290
61,68811
62,121194
63,110002
64,109633
65,112230
66,8878
67,68590
68,69230
69,113303
70,109639
71,6954
72,86147
73,3519
74,113274
75,110909
76,5450
77,5461
78,9877
79,7922
80,110758
81,5468
82,113283
83,122131
84,86121
85,112248
86,110068
87,109893
88,85224
89,109959
90,85719
91,8849
92,6952
93,112193
94,85213
95,68437
96,5440
97,112236
98,8933
99,85188
100,8834
101,66232
102,110792
103,85694
104,85203
105,68815
106,98900
107,9886
108,112215
109,5676
110,8929
111,5582
112,13497
113,109177
114,86186
115,8843
116,9852
117,124071
118,85271
119,5480
120,3170
121,9705
122,121204
123,85700
124,7001
125,67802
126,110078
127,110012
128,637
129,86092
130,112971
131,68583
132,124073
133,7926
134,9837
135,110900
136,110118
137,5677
138,67882
139,69232
140,8848
141,8938
142,124118
143,110921
144,86081
145,85208
146,110757
147,6951
148,8912
149,69227
150,3194
151,9828
152,67817
153,5446
154,110897
155,67864
156,6998
157,8877
158,66223
159,66227
160,112210
161,5591
162,112225
163,67813
164,86120
165,122181
166,67793
167,5684
168,68446
169,110051
170,68805
171,9824
172,86115
173,110133
174,9687
175,66612
176,9874
177,110902
178,110029
179,112063
180,8837
181,98992
182,3265
183,9684
184,8918
185,9700
186,5427
187,99141
188,121175
189,109979
190,85723
191,109642
192,6977
193,124147
194,110761
195,68814
196,9834
197,110878
198,124070
199,66438
200,5615
201,98894
202,99002
203,68426
204,9669
205,113176
206,68776
207,5453
208,113288
209,110120
210,110794
211,10959
212,112051
213,68231
214,5702
215,124100
216,66270
217,5423
218,109202
219,5619
220,109189
221,113282
222,98996
223,67794
224,3601
225,3260
226,110117
227,110916
228,85240
229,113319
230,124078
231,109638
232,9826
233,5617
234,112179
235,9903
236,7982
237,113331
238,109996
239,6976
240,5674
241,112244
242,68259
243,5569
244,121206
245,85720
246,112066
247,9681
248,6972
249,85267
250,109980
251,5661
252,110892
253,123258
254,110066
255,85987
256,110106
257,112216
258,112055
259,112222
260,110094
261,5624
262,67450
263,110067
264,6957
265,85265
266,99182
267,112039
268,109904
269,85285
270,7921
271,113311
272,110898
273,109990
274,5708
275,123925
276,68263
277,110000
278,5458
279,20124
280,5614
281,98889
282,112223
283,86162
284,66614
285,66433
286,112217
287,66600
288,8867
289,110809
290,110893
291,113313
292,85284
293,5474
294,112213
295,86089
296,85261
297,109982
298,110088
299,85279
300,5631
301,123141
302,123859
303,8904
304,9832
305,85252
306,110014
307,5720
308,3550
309,110032
310,68255
311,6961
312,6997
313,85179
314,67804
315,123147
316,123917
317,9878
318,110781
319,112208
320,5650
321,109657
322,110075
323,112184
324,112224
325,3920
326,85180
327,122136
328,113309
329,66478
330,110873
331,5612
332,112995
333,109965
334,85165
335,85201
336,110768
337,5467
338,85262
339,85695
340,109181
341,68813
342,66245
343,5587
344,112972
345,110796
346,7006
347,122142
348,124102
349,109967
350,8903
351,8889
352,3363
353,110945
354,109673
355,98903
356,67829
357,86109
358,109209
359,110021
360,123921
361,85272
362,5672
363,113328
364,109989
365,8884
366,112229
367,3592
368,85931
369,9697
370,66623
371,110875
372,110069
373,110932
374,86176
375,109985
376,127025
377,67857
378,85713
379,6978
380,85244
381,112219
382,123163
383,66430
384,6984
385,8894
386,86171
387,112232
388,110823
389,5442
390,68773
391,7930
392,5711
393,85170
394,85268
395,124149
396,5443
397,66607
398,99005
399,85182
400,86177
401,9823
402,113165
403,110907
404,66603
405,113290
406,109636
407,67866
408,5630
409,67806
410,7923
411,122179
412,110912
413,9894
414,5545
415,110100
416,86175
417,109973
418,112220
419,113294
420,110919
421,112938
422,66608
423,110896
424,9817
425,9881
426,112206
427,67871
428,86189
429,110827
430,124135
431,3763
432,99009
433,6945
434,9901
435,84516
436,85223
437,5464
438,121172
439,5673
440,9682
441,124132
442,3946
443,7986
444,6947
445,9861
446,67801
447,112180
448,85246
449,110904
450,85211
451,5701
452,123140
453,110065
454,9844
455,5469
456,110894
457,66250
458,123154
459,110079
460,86173
461,109230
462,66440
463,67836
464,85169
465,67797
466,113271
467,112238
468,86117
469,86184
470,6982
471,6971
472,110018
473,123919
474,9887
475,112211
476,110042
477,110004
478,85229
479,7985
480,86093
481,110754
482,109229
483,85706
484,66229
485,8921
486,113300
487,6958
488,68532
489,66602
490,85253
491,110020
492,85701
493,85278
494,112982
495,68451
496,9820
497,123143
498,66247
